guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
206b45cc-bc53-3fa6-b4eb-f3e186fc5f30;AAPL;"Dow Jones Futures: Market Rally Takes Big Step; Google, DocuSign Accelerating To Buy Points; Apple, AMC Stock In Focus";"Stocks closed the week strong, with the S&amp;P 500 just below a high. Google and DocuSign are among top stocks near buy points with accelerating growth. Apple WWDC and meme stocks are in focus.";Sun, 06 Jun 2021 01:43:57 +0000;AAPL_2021-06-06;0.7717;0.0
7051e0ff-c638-3c39-935d-0993d20efdbe;AAPL;Big Tech Under Fire: G7 Leaders Agree on 15% Minimum Global Tax Rate;Some of the tech sector's most influential players could soon face significantly bigger tax bills.;Sat, 05 Jun 2021 20:50:11 +0000;AAPL_2021-06-05;0.4927;0.0258
acdab618-4eff-3efe-89b0-ac40a9abe260;AAPL;Where Will Skillz Be in 5 Years?;Skillz (NYSE: SKLZ) has been a volatile stock since it merged with a SPAC and went public last December.  Skillz's cloud-based online matchmaking arena enables mobile game developers to easily host multiplayer games, award cash prizes, process in-app payments, and monitor the performance of their games.  Outsourcing those features to Skillz is generally cheaper, simpler, and easier to scale than creating those features from scratch.;Sat, 05 Jun 2021 11:30:00 +0000;AAPL_2021-06-05;0.9169;0.0
54f87aca-11c8-356e-ac45-7fb39b7706bd;AAPL;Apple (NASDAQ:AAPL) Is Investing Its Capital With Increasing Efficiency;If you're looking for a multi-bagger, there's a few things to keep an eye out for. Ideally, a business will show two...;Sat, 05 Jun 2021 07:06:05 +0000;AAPL_2021-06-05;0.4215;0.3612
168e6916-f6d5-3fca-8fd3-9d179217d985;AAPL;Top 10 S&P 500 Stocks by Index Weight;"The Standard & Poor's 500 Index, or simply the S&amp;P 500, is a market-capitalization-weighted index of 505 large-cap U.S. stocks. The index accounts for 80% of the market value of the U.S. equities market.";Fri, 04 Jun 2021 23:30:34 +0000;AAPL_2021-06-04;0.34;0.2023
747f2ae7-8d15-3e1e-89cc-bf76f22afd87;AAPL;Apple (AAPL) Outpaces Stock Market Gains: What You Should Know;Apple (AAPL) closed at $125.89 in the latest trading session, marking a +1.9% move from the prior day.;Fri, 04 Jun 2021 21:45:09 +0000;AAPL_2021-06-04;0.0;0.34
94ae2057-e26c-31b1-8304-8dd986f37cc9;AAPL;Amazon Defends Failure to Pay Workers for Covid Screening Time;(Bloomberg Law) -- Amazon.com Services LLC has no obligation to pay fulfillment center workers for time spent undergoing mandatory Covid-19 screenings, which benefits the public in general, the company says in a motion to dismiss a would-be class action filed in the Eastern District of California.The required screenings, conducted in accordance with government regulations and guidance—not just for employees but for all visitors—aren’t compensable “work” under the Fair Labor Standards Act because;Fri, 04 Jun 2021 20:49:26 +0000;AAPL_2021-06-04;0.4767;-0.4588
f222741b-077c-3848-8f1a-19acf86bdca0;AAPL;Alphabet Inches Past Amazon in Market Cap. Only Apple and Microsoft Are Ahead.;The shift reflects a change in how the market sees companies viewed as having gained a lot from the pandemic, relative to those that win from the reopening.;Fri, 04 Jun 2021 20:34:00 +0000;AAPL_2021-06-04;0.7506;0.1779
2f71f968-b246-3370-992f-dba2dac60293;AAPL;Apple Might Ratchet Up Rivalry With Facebook At WWDC;The corporate feud between Apple and Facebook could surface Monday at Apple's Worldwide Developers Conference.;Fri, 04 Jun 2021 20:22:33 +0000;AAPL_2021-06-04;-0.34;0.0
a765514c-d2ac-3191-83c3-f879fd03dff4;AAPL;Apple Working on iPad Pro with Wireless Charging, New iPad Mini;(Bloomberg) -- Apple Inc. is working on a new iPad Pro with wireless charging and the first iPad mini redesign in six years, seeking to continue momentum for a category that saw rejuvenated sales during the pandemic.The Cupertino, California-based company is planning to release the new iPad Pro in 2022 and the iPad mini later this year, according to people with knowledge of the matter. The main design change in testing for the iPad Pro is a switch to a glass back from the current aluminum enclos;Fri, 04 Jun 2021 18:38:01 +0000;AAPL_2021-06-04;0.0258;0.0
